SN,StnID,StationName,LatDD,LongDD,Region,Column1,Air_T,RH,Pluvio,TBRG,AvgWS,AvgWD,Sol Rad,Soil Temp (5 cm),Soil Moisture & Temp (5 and 20 cm),Soil Moisture & Temp (50 and 100 cm),Barometric Pressure,location_unique_id
46,502,CARTWRIGHT,49.088,-99.325,Central,465,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,d7b9f0a41d1543e291521a6194ea92a8
47,503,BALDUR,49.356,-99.248,Central,432,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,6be6c7b5eae74892815600c48115114e
48,504,FINDLAY,49.547,-100.782,Southwest,434,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,9220d8f2ae604af289c5e3ded86eb4ec
49,505,ARGUE,49.436,-100.308,Southwest,466,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,28b14b8e40204db88d3c9d53c9e4c3de
50,506,MINTO,49.428,-99.924,Southwest,472,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,d67a078a03da4575b3bbee59f0bd6027
51,507,WASKADA,49.088,-100.93,Southwest,452,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,239ce595aa274f8cb3b2b3a5f437066e
52,508,MOUNTAINSIDE,49.13,-100.298,Southwest,584,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,70cff9adca894904a508285ee42951f5
53,509,NINETTE,49.326,-99.699,Southwest,470,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,3654d996acf74d3bbf669e37abde5ec8
54,510,MINITONAS,52.144,-100.882,Northwest,318,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,2057b0730b804e8ba7df0332bc937770
55,511,FORK RIVER,51.538,-100.006,Northwest,263,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,2ec4ea8de85646038a8b7d0b43041178
56,512,DRIFTING RIVER,51.358,-100.361,Northwest,338,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2017.0,2018.0,28dfb2bcf7434b93a5cbfb2524caaf17
57,513,WINDYGATES,49.008,-98.38,Central,476,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,5e1a934fa92d4b13bd3120f57c41113f
58,514,SNOWFLAKE,49.016,-98.673,Central,476,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,3a567bf29b324647b462a34276bad2a2
59,515,TAYLOR'S POINT,50.862,-98.448,Interlake,250,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,10fc024695094833bf5c9572bdb1bb3f
60,516,INWOOD,50.507,-97.622,Interlake,266,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,fe428b5f59e643a1b0d54a120e2af206
61,517,FISHERTON,51.185,-97.769,Interlake,253,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,605d6ef87bbc42128157bb0fbe01631c
62,518,GARDENTON,49.088,-96.64,Eastern,298,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,e5b108076b6f4f40be92a9c13ced09db
63,519,ZHODA,49.252,-96.511,Eastern,305,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,5d4499d4075b45929716ce900d9ec8ef
64,520,RUTHENIA,50.827,-100.903,Northwest,591,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,c88f844dbc5f40beb5e512ad542ac2e6
65,521,VIVIAN,49.885,-96.411,Eastern,268,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,4a0fb8e67f264da0bd83a0beb6555477
66,522,ELMA,49.875,-95.92,Eastern,284,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,9514a967286d4f63ad8ef0789a79ef73
67,523,OAKBURN,50.595,-100.672,Southwest,587,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,d7a35c142c3041ae9956b2804d6da585
68,524,KANE,49.355,-97.704,Central,246,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,c2534c8359b946caa29da66889ee13eb
69,525,INGLIS,50.948,-101.259,Northwest,572,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,81448b004acc417d99070ad1f5708adc
70,526,PIPE LAKE,51.316,-100.693,Northwest,530,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2017.0,2018.0,36d490b3e5534b5781ea2927a625cfde
71,527,SAN CLARA,51.421,-101.398,Northwest,606,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,e2d7d1c017cf42359d69a84816c56281
72,528,RORKETON,51.333,-99.493,Northwest,260,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,929347f598c048efaec1bcf07f28cd34
73,529,ST. LAZARE,50.447,-101.231,Southwest,503,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,b61d9a8c2e3a4daea741bddec00c64cf
74,531,KOLA,49.857,-101.37,Southwest,535,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,deaf31e45f754e31b1c5243a4ffbbee6
75,740,BEDE,49.402,-100.93,Southwest,437,2013,2013,2014.0,2013,2013,2013,2016,2013,2016.0,2018.0,2018.0,004a3e56f3844438b8f2d89c71a6e1ef
76,530,BRUNKILD ,49.591,-97.518,Central,238,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0,920c8839610c41beab9d23a754901765
77,532,KELD,50.993,-100.227,Northwest,428,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2017.0,2018.0,84f216a6dd0c4f84bd33b1c2a00740b8
78,533,AUSTIN,49.9607,-98.9054,Central,303,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,cb4e2f38c7da403cae889e88880c6772
79,534,BAGOT,49.9601,-98.6367,Central,285,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,e0db286be78d4973a8d1d2879d388568
80,535,DOMINION CITY,49.1631,-97.1454,Eastern,237,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,915199d3ca514299b349c3e675e745e2
81,536,ELIE,49.96,-97.7463,Central,240,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,8a6de9ea67b44597bb59bdc45555735d
82,537,MARCHAND,49.4294,-96.4428,Eastern,300,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,e1c001c5f0e34a97958eb378d817f224
83,538,ROSA,49.2415,-96.8135,Eastern,281,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,179f52dd3edb4e0e81ac8a495101a534
84,539,LAKELAND,50.2548,-98.6376,Central,260,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,cda4ec08dbf84e838b221c8fc681cccb
85,540,PLUMAS,50.4029,-99.007,Central,273,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,e11f9526d462467cb10da4b9570495a9
86,541,NEWDALE,50.3389,-100.1616,Southwest,606,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,cce80699f4194df8aa786fd9b794e2a4
87,542,DAND,49.3776,-100.5387,Southwest,472,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,07c69321bbd847c1a1b970e6fb649b3f
88,543,SINCLAIR,49.4919,-101.3028,Southwest,496,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,d95145b1875744d4b93d9425b6dd5c17
89,544,ALEXANDER,49.8134,-100.3721,Southwest,431,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,2735b2b3e40b45c58a1f1866084d6f69
90,545,EDEN,50.4324,-99.4392,Southwest,384,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,fa0dcf2a920f448cb398ffbe0fa3b0a7
91,546,MCAULEY,50.182,-101.4239,Southwest,506,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,6ff19612939e4b7aa9ae09a6b8ffd226
92,547,MINIOTA,50.137,-100.9434,Southwest,470,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,c766a1519bb5469fad940816fca5a5e5
93,548,KENTON,50.0187,-100.5926,Southwest,474,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,ef6af8df38a641e09d0e91bc58152c13
94,549,LAKE AUDY,50.6803,-100.2593,Southwest,569,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,e59d0bef8baa42eda8ba654a8c3e47e1
95,550,RIVERS,50.0514,-100.2341,Southwest,488,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,46e248ace7c84285ad0ab27abfc23469
96,551,NEEPAWA,50.1889,-99.432,Southwest,379,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,8929c9c97f8d454ab478a5acb86d3960
97,552,REEDY CREEK,50.9461,-98.9286,Northwest,251,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,cb5eb8eb0ad34a3b92786b14b390314d
98,553,LAURIER,50.8753,-99.6024,Northwest,303,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,efc1c68104fe4388a97d3ac3a72e0459
99,554,ST. CLAUDE,49.6649,-98.3329,Central,305,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,ab98cb75242a42b087fcc9056212de35
100,555,STONEWALL,50.1227,-97.3033,Interlake,247,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,ba2698b4a090480fbb820903eda0693d
101,556,LAKE FRANCIS,50.3583,-97.8755,Interlake,261,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,9927221c27854874801e14d3aabc19c0
102,557,LAC DU BONNET,50.2796,-96.0507,Eastern,259,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,18d0cf4184a24b538d25a297f5dce9f1
103,558,SHILO,49.8277,-99.6988,Southwest,378,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,ea051397b9bb4969a91a89e5fbef44ac
104,559,HOLLAND,49.591,-98.984,Central,372,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,11d505c7978d431c945b35fa12d6faad
105,560,PRAWDA,49.6477,-95.7241,Eastern,306,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,73f50797f2d9491eb7b74d0694f9f86c
106,561,SPRAGUE LAKE,49.3325,-95.4056,Eastern,358,2017,2017,2017.0,2017,2017,2017,2017,2017,,,,4cb496053e5d41e98a320547e3ccb7d6
107,562,POPLARFIELD,50.8858,-97.603,Interlake,270,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,9b14b5f32cc44ddd96d927d83e0502d9
108,563,BIRCH RIVER,52.3472,-101.1099,Northwest,306,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0,58a410ef89644e03b66a924d41b969b4
109,564,RIVERTON,51.0203,-97.0625,Interlake,222,2020,2020,2020.0,2020,2020,2020,2020,2020,2020.0,2020.0,2020.0,492e008a17814db08d63ba392da74b69
110,565,STEAD,50.4138,-96.4111,Eastern,237,2020,2020,2020.0,2020,2020,2020,2020,2020,2020.0,2020.0,2020.0,9acd0f1a28b946e2adc07e05a491a049
111,566,BRANDONNH,49.876,-99.909,Southwest,394,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0,60166a49c4b94abba8fde638bb544486
112,567,RICHER,49.6089,-96.5256,Eastern,280,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0,ab7d37cb3cf549428e5944582a1e931f
113,568,PETERSFIELD,50.2994,-97.0406,Interlake,230,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0,4264b34809934a029da3847dbeca9fa0
114,569,CLARKLEIGH,50.5947,-98.0035,Interlake,253,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0,ba784cd2a70941cb9ffea236500d481c
115,570,SAINT LABRE,49.3116,-95.9831,Eastern,358,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,90dc552b5f834abcaad5114745db34ae
116,571,INGELOW,49.9674,-99.5919,Southwest,386,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,c2030ede670845eda4c9402f10f793aa
117,572,ERICKSON,50.5057,-99.9013,Southwest,632,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,7fe129aa2650458788655a934527619e
118,573,JORDAN,49.3663,-98.0219,Central,268,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,0f5b00f99aac4d638e2d4bfaf3124ad0
119,574,AMARANTH,50.6424,-98.6686,Northwest,251,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,698b7f995be348b4af9b9ed75f68cd2e
120,575,ASHVILLE,51.1623,-100.297,Northwest,342,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,be62a5b0f6ac436aaf42f305752c9e05
